错误码
REST API
REST API 错误码从 50000 到 59999

公共
错误码从 50000 到 53999

通用类
错误码	HTTP 状态码	错误提示
0	200	
1	200	操作全部失败
2	200	批量操作部分成功
50000	400	POST请求的body不能为空
50001	503	服务暂时不可用，请稍后重试
50002	400	JSON 语法错误
50004	400	接口请求超时（不代表请求成功或者失败，请检查请求结果）
50005	410	接口已下线或无法使用
50006	400	无效的 Content-Type，请使用“application/JSON”格式
50007	200	用户被冻结
50008	200	用户不存在
50009	200	用户处于爆仓冻结
50010	200	用户ID为空
50011	200	用户请求频率过快，超过该接口允许的限额。请参考 API 文档并限制请求
50011	429	请求频率太高
50012	200	账户状态无效，请检查帐户的状态
50013	429	当前系统繁忙，请稍后重试
50014	400	必填参数{param0}不能为空
50015	400	参数{param0}和{param1}不能同时为空
50016	400	参数{param0}和{param1}不匹配
50017	200	当前仓位处于自动减仓 (ADL) 冻结中，无法进行相关操作，请稍后重试
50018	200	{param0} 处于自动减仓 (ADL) 冻结中，无法进行相关操作，请稍后重试
50019	200	当前账户处于自动减仓 (ADL) 冻结中，无法进行相关操作，请稍后重试
50020	200	当前仓位处于强平冻结中，无法进行相关操作，请稍后重试
50021	200	{param0} 处于强平冻结中，无法进行相关操作，请稍后重试
50022	200	当前账户处于强平冻结中，无法进行相关操作，请稍后重试
50023	200	资金费冻结，无法进行相关操作，请稍后重试
50024	200	参数{param0}和{param1}不能同时存在
50025	200	参数{param0}传值个数超过最大限制{param1}
50026	500	系统错误，请稍后重试
50027	200	当前账户已被限制交易，请联系客服处理
50028	200	账户异常无法下单
50029	200	你的账户已经触发风控体系，禁止交易该标的，请检查您在欧易注册的电子邮件以便我们的客服联系
50030	200	您没有使用此 API 接口的权限
50032	200	您的账户已设置禁止该币种交易，请确认后重试
50033	200	您的账户已设置禁止该业务线交易，请确认后重试
50035	403	该接口要求APIKey必须绑定IP
50036	200	expTime 不能早于当前系统时间，请调整 expTime 后重试
50037	200	订单已过期
50038	200	模拟交易不支持该功能
50039	200	时间戳分页时，不支持使用before参数
50040	200	操作频繁，请稍后重试
50041	200	用户 ID 未被列入白名单列表，请联系客服
50042	200	请求重复
50044	200	必须指定一种broker类型
50045	200	simPos 应为空。投资组合计算器纳入真实现货仓位时，暂不支持添加模拟仓位。
50046	200	该功能暂时无法使用，我们正在进行维护，请稍后重试
50047	200	{param0} 已经交割，对应的K线请使用{param1}查询
50048	200	切换对冲单元可能导致仓位风险水平升高，引起强制平仓。请调整仓位，使保证金处于安全状态。
50049	200	无仓位档位信息，该币种不支持杠杆交易
50050	200	您已开通期权交易服务，请勿重复开通
50051	200	由于您所在国家或地区的合规限制，您无法使用该功能
50052	200	根据当地的法律法规，您无法交易您选择的币种
50053	200	该功能只支持模拟盘
50055	200	资产重置失败，超过每日设置5次资产上限
50056	200	当前账户有交易挂单或持仓，请完成全部撤单/平仓后进行重置
50057	200	资产重置失败，请稍后重试
50058	200	该币种不支持资产重置
50059	200	继续下一步之前，请按照当地监管机构的要求完成额外步骤。您可以前往欧易网页端或 App 端了解详情。
50060	200	根据当地法律法规，您需要完成身份认证方可继续使用我们的服务。
50061	200	订单请求频率过快，超过账户允许的最高限额
50062	200	该功能暂不可用
50063	200	激活失败，您的体验金可能已过期或已激活
50064	200	借币系统暂不可用，请稍后再试
50067	200	当前接口不支持跨站交易功能
50069	200	风险单元保证金率校验失败
50071	200	{param} 已存在
e.g. clOrdId 已存在
50072	200	跨币种保证金和组合保证金模式不再支持进行逐仓杠杆交易
50075	200	该币种在伊斯兰子账户不可用
50076	200	起始日期和结束日期的时间间隔不能超过{param0}天
50077	200	起始日期和结束日期的时间间隔不能超过{param0}月
API 类
错误码	HTTP 状态码	错误提示
50100	400	Api 已被冻结，请联系客服处理
50101	401	APIKey 与当前环境不匹配
50102	401	请求时间戳过期
50103	401	请求头"OK-ACCESS-KEY"不能为空
50104	401	请求头"OK-ACCESS-PASSPHRASE"不能为空
50105	401	请求头"OK-ACCESS-PASSPHRASE"错误
50106	401	请求头"OK-ACCESS-SIGN"不能为空
50107	401	请求头"OK-ACCESS-TIMESTAMP"不能为空
50108	401	券商ID不存在
50109	401	券商域名不存在
50110	401	您的IP{param0}不在APIKey绑定IP名单中 (您可以将您的IP加入到APIKey绑定白名单中)
50111	401	无效的OK-ACCESS-KEY
50112	401	无效的OK-ACCESS-TIMESTAMP
50113	401	无效的签名
50114	401	无效的授权
50115	405	无效的请求类型
50116	200	Fast API 只能创建一个 API key
50118	200	如需将 API key 绑定 App，经纪商需要提供 IP 才能加入白名单
50119	200	API key 不存在
50120	200	API key 权限不足
50121	200	您无权通过该 IP 地址 ({param0}) 访问
50122	200	下单金额必须超过最低金额限制
交易类
错误码	HTTP 状态码	错误提示
51000	400	{param0}参数错误
51001	200	Instrument ID、Instrument ID code 或 Spread ID 不存在
51002	200	交易产品ID不匹配指数
51003	200	ordId或clOrdId至少填一个
51004	200	下单失败，您在{instId} 逐仓的开平仓模式下，当前下单张数、同方向持有仓位以及同方向挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前下单张数：{size}张，同方向持有仓位：{posNumber}张，同方向挂单张数：{pendingNumber}张)。
51004	200	下单失败，您在{instId}全仓的开平仓模式下，当前下单张数、多空持有仓位以及多空挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前下单张数：{size}张，多空持有仓位{posLongShortNumber}张，多空挂单张数：{pendingLongShortNumber}张)。
51004	200	下单失败，您在{businessType}和交易品种{instFamily}的全仓开平仓模式下，当前下单张数、当前合约多空持有仓位、当前合约多空挂单张数以及其他合约占用额度之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前下单张数：{size}张，当前合约多空持有仓位：{posLongShortNumber}张，当前合约多空挂单张数：{pendingLongShortNumber}张，其他合约占用额度：{otherQuote}张)。
51004	200	下单失败，您在{instId}的买卖模式下，当前买入张数、持有仓位、以及买入挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前买入张数：{size}张，持有仓位：{posNumber}张，买入挂单张数：{pendingNumber}张)。
51004	200	下单失败，您在{instId}的买卖模式下，当前卖出张数、持有仓位以及卖出挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前卖出张数：{size}张，持有仓位：{posNumber}张，卖出挂单张数：{pendingNumber}张)。
51004	200	下单失败，您在{businessType}和交易品种{instFamily}的全仓买卖模式下，当前买入张数、当前合约持有仓位、当前合约买入挂单张数以及其他合约占用额度之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前买入张数：{size}张，当前合约持有仓位：{posNumber}张，当前合约买入挂单张数：{pendingNumber}张，其他合约占用额度：{otherQuota}张)。
51004	200	下单失败，您在{businessType}和交易品种{instFamily}的全仓买卖模式下，当前卖出张数、当前合约持有仓位、当前合约卖出挂单张数以及其他合约占用额度之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前卖出张数：{size}张，当前合约持有仓位：{posNumber}张，当前合约卖出挂单张数：{pendingNumber}张，其他合约占用额度：{otherQuota}张)。
51004	200	修改订单失败，您在{instId} 逐仓的开平仓模式下，当前改单新增张数、同方向持有仓位以及同方向挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前改单新增张数：{size}张，同方向持有仓位：{posNumber}张，同方向挂单张数：{pendingNumber}张)。
51004	200	修改订单失败，您在{instId}全仓的开平仓模式下，当前改单新增张数、多空持有仓位以及多空挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前改单新增张数：{size}张，多空持有仓位{posLongShortNumber}张，多空挂单张数：{pendingLongShortNumber}张)。
51004	200	修改订单失败，您在{businessType}和交易品种{instFamily}的全仓开平仓模式下，当前改单新增张数、当前合约多空持有仓位、当前合约多空挂单张数以及其他合约占用额度之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，当前改单新增张数：{size}张，当前合约多空持有仓位：{posLongShortNumber}张，当前合约多空挂单张数：{pendingLongShortNumber}张，其他合约占用额度：{otherQuote}张)。
51004	200	修改订单失败，您在{instId}的买卖模式下，修改当前买单新增张数、持有仓位、以及买入挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，修改当前买单新增张数：{size}张，持有仓位：{posNumber}张，买入挂单张数：{pendingNumber}张)。
51004	200	修改订单失败，您在{instId}的买卖模式下，修改当前卖单新增张数、持有仓位以及卖出挂单张数之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，修改当前卖单新增张数：{size}张，持有仓位：{posNumber}张，卖出挂单张数：{pendingNumber}张)。
51004	200	修改订单失败，您在{businessType}和交易品种{instFamily}的全仓买卖模式下，修改当前买单新增张数、当前合约持有仓位、当前合约买入挂单张数以及其他合约占用额度之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，修改当前买单新增张数：{size}张，当前合约持有仓位：{posNumber}张，当前合约买入挂单张数：{pendingNumber}张，其他合约占用额度：{otherQuota}张)。
51004	200	修改订单失败，您在{businessType}和交易品种{instFamily}的全仓买卖模式下，修改当前卖单新增张数、当前合约持有仓位、当前合约卖出挂单张数以及其他合约占用额度之和，不能超过当前杠杆倍数允许的持仓上限{tierLimitQuantity}(张)，请调低杠杆或者使用新的子账户重新下单(当前杠杆：{leverage}×，修改当前卖单新增张数：{size}张，当前合约持有仓位：{posNumber}张，当前合约卖出挂单张数：{pendingNumber}张，其他合约占用额度：{otherQuota}张)。
51005	200	委托数量大于单笔上限
51006	200	委托价格不在限价范围内（最高买入价：{param0}，最低卖出价：{param1}）
51007	200	委托失败，委托数量不可小于 1 张
51008	200	委托失败，账户 {param0} 可用余额不足
51008	200	委托失败，账户 {param0} 可用保证金不足
51008	200	委托失败，账户 {param0} 可用余额不足，且未开启自动借币
51008	200	委托失败，账户 {param0} 可用保证金不足，且未开启自动借币（PM模式也可以尝试IOC订单降低风险）
51008	200	委托失败，因为 {param0} 剩余的档位限额不足，导致可借不足（限价挂单以及当前下单需借：{param1}， 剩余额度{param2}，限额 {param3}，已用额度{param4}）
51008	200	委托失败，因为 {param0} 剩余的限额（母账户限额+当前账户锁定的尊享借币额度）不足，导致可借不足（限价挂单以及当前下单需借 {param1}，剩余额度 {param2}，限额 {param3}，已用额度 {param4}）
51008	200	委托失败，因为 {param0} 剩余的币对限额不足，导致可借不足
51008	200	委托失败，因为 {param0} 剩余的借贷池限额不足，导致可借不足
51008	200	委托失败，账户资产不足，美金层面有效保证金小于 IMR（PM模式也可以尝试IOC订单降低风险）
51008	200	委托失败，delta 校验未通过，因为若成功下单，adjEq 的变化值将小于 IMR 的变化值。建议增加 adjEq 或减少 IMR 占用（PM模式也可以尝试IOC订单降低风险）
51008	200	委托失败，账户可用保证金过低，其中不包含已触发平台质押限制的币种资产 {param0}
51008	200	委托失败，账户可用余额不足，其中不包含已触发平台质押限制的币种资产 {param0}
51008	200	委托失败，{param0} 可用余额不足，该委托会产生借币，当前账户可用保证金过低无法借币。账户可用保证金不包含已触发平台质押限制的币种资产 {param1}
51008	200	委托失败，您主账户的 {param0} 借币额度不足
51009	200	下单功能被冻结，请联系客服进行处理
51010	200	当前账户模式不支持此操作
51011	200	ordId重复
51012	200	币种不存在
51014	200	指数不存在
51015	200	instId和instType不匹配
51016	200	clOrdId重复
51017	200	杠杆委托交易借币超出限额
51018	200	期权交易账户不能有净开空持仓
51019	200	期权全仓不能有净开多持仓
51020	200	委托数量需大于或等于最小下单数量
51021	200	币对或合约待上线
51022	200	合约暂停中
51023	200	仓位不存在
51024	200	交易账户冻结
51024	200	根据服务条款，我们很遗憾地通知您，我们无法为您提供服务。如果您有任何问题，请联系我们的客服。
51024	200	根据您的要求，该账号已被冻结，如有问题请及时联系客服处理。
51024	200	您的账户近期做了相关安全设置变更，为保证您的资金安全，暂无法进行此操作，如有问题请您及时联系客服处理。
51024	200	您的账户已完成全部资产支取，为保证您的信息安全，该账户已永久冻结，若有问题，请您及时联系客服处理。
51024	200	您的认证信息疑似存在安全风险，为保证您的资金安全，暂无法进行此操作，请您及时联系客服处理。
51024	200	您的认证信息不符合年龄规定，为保证您的资金安全，暂无法进行此操作，请您及时联系客服处理。
51024	200	根据合规要求，您的认证国家或地区已禁止交易，您可以平掉所有仓位。如有问题请及时联系客服处理。
51024	200	您的认证信息疑似存在多次认证，为保证您的资金安全，暂无法进行此操作，请您及时联系客服处理。
51024	200	您的账户已被司法冻结，暂无法进行此操作，如有问题请您及时联系客服处理。
51024	200	无法进行此操作。请首先解决您现有的 C2C申诉。
51024	200	您的账户疑似存在合规风险，为保证您的资金安全，暂无法进行此操作，请您及时联系客服处理。
51024	200	根据您的交易需求，暂无法进行此操作，如有问题请及时联系客服处理。
51024	200	由于您的账户触发平台风控，暂无法进行此操作，有疑问请您联系客服。
51024	200	此账户暂无法使用，有任何疑问您可以联系客服。
51024	200	此账户提币功能暂无法使用，有任何疑问您可以联系客服。
51024	200	此账户资金账户划转功能暂无法使用，有任何疑问您可以联系客服。
51024	200	因您进行法币交易时违反了《平台法币交易规则》，故不再为您提供法币交易功能的相关服务，您账户的充币提币以及其他交易功能不受影响。
51024	200	请注意查收邮件内容，回复认证团队发送邮件，有任何问题，请联系认证团队。
51024	200	根据您的要求，该账号已被关闭，如有问题请及时联系客服处理。
51024	200	您的账户疑似存在安全风险，为保证您的资金安全，暂无法进行此操作，请您及时联系客服处理。
51024	200	您的账户疑似存在安全风险，暂无法兑换，请您及时联系客服处理
51024	200	您的账号已冻结，部分功能将被禁用，如您希望解除账号限制，请前往帮助中心联系平台客服。
51024	200	根据合规要求，您的认证国家或地区已禁止交易，您可以撤销已有的订单。如有问题请及时联系客服处理。
51024	200	您的认证国家为交易禁止国，根据合规要求，暂无法进行此操作，如有问题请您及时联系客服处理。
51024	200	根据当地法律法规，您所在的国家或地区无法使用该产品。如果您的常居住地不是本国家或地区，并持有有效身份证件，您可继续使用欧易的交易所产品。
51024	200	请注意您在建立托管交易子账户后的前30分钟内可能无法划转或进行交易，请耐心等待并稍后再试。
51024	200	此功能暂不可用，完成高级身份认证后即可正常使用
51024	200	由于您未能及时更新认证信息，您账户的充币与交易功能已受限。请尽快更新认证，以解除账户限制。
51024	200	超出限制的子账户不能开仓，只能减仓或平仓，请尝试使用其他账户进行交易。
51025	200	委托笔数超限
51026	200	交易产品类型不匹配指数（instType和uly不匹配）
51027	200	合约已到期
51028	200	合约交割中
51029	200	合约结算中
51030	200	资金费结算中
51031	200	委托价格不在平仓限价范围内
51032	200	市价全平中
51033	200	币对单笔交易已达限额
51034	200	成交速率超出您所设置的上限，请将做市商保护状态重置为 inactive 以继续交易。
51035	200	用户没有做市订单的下单权限
51036	200	仅 PM 账户的期权业务线支持 MMP 类型订单
51411	200	用户没有执行mass cancel的权限
51042	200	PM 账户模式下，期权仅支持持仓模式为全仓的 MMP 类型订单
51043	200	该逐仓仓位不存在
59509	200	用户没有重置做市商保护状态的权限
51037	200	当前账户风险状态，仅支持降低账户风险方向的IOC订单
51038	200	当前风险模块下已经存在降低账户风险方向的IOC类型订单
51039	200	PM账户下交割和永续的全仓不能调整杠杆倍数
51040	200	期权逐仓的买方不能调整保证金
51041	200	PM账户仅支持买卖模式
51044	200	当前订单类型{param0}， {param1}不支持设置止盈和止损
51046	200	止盈触发价格应该大于委托价格
51047	200	止损触发价格应该小于委托价格
51048	200	止盈触发价格应该小于委托价格
51049	200	止损触发价格应该大于委托价格
51050	200	止盈触发价格应该大于卖一价
51051	200	止损触发价格应该小于卖一价
51052	200	止盈触发价格应该小于买一价
51053	200	止损触发价格应该大于买一价
51054	500	请求超时，请稍候重试
51055	200	组合保证金模式暂不支持合约网格
51056	200	当前策略不支持该操作
51057	200	当前账户模式暂不支持此交易策略，请前往“交易设置 > 账户模式”进行切换
51058	200	该策略无仓位
51059	200	策略当前状态不支持此操作
51065	200	algoClOrdId 重复
51066	200	期权交易不支持市价单，请用限价单平仓
51068	200	{param0} 已经在 algoClOrdId 和 attachAlgoClOrdId 中存在。
51069	200	不存在该{param0}相关的期权合约
51070	200	您当前尚未达到升级至该账户模式的要求，请先在官方网站或APP完成账户模式的升级。
51071	200	当前维护的标签维度倒计时全部撤单达到数量上限
51072	200	您当前身份为现货带单员，设置的带单币对买入时，tdMode 需要使用 spot_isolated
51073	200	您当前身份为现货带单员，卖出带单资产需要使用'/copytrading/close-subposition'接口
51074	200	仅现货带单员设置的带单币对支持使用 tdMode：spot_isolated
51075	200	现货跟单平仓单只支持修改价格，不支持修改数量
51076	200	分批止盈的每笔止盈止损订单仅支持单向止盈止损，slTriggerPx&slOrdPx 与 tpTriggerPx&tpOrdPx 只能填写一组
51077	200	现货和杠杆暂不支持多笔止盈和成交价止损
51078	200	您当前身份为带单交易员，不支持分批止盈
51079	200	同一笔订单上附带分批止盈的止盈委托单不能超过 {param0} 笔
51080	200	同一笔订单上附带分批止盈的止盈触发价类型 (tpTriggerPxType) 必须保持一致
51081	200	同一笔订单上附带分批止盈的止盈触发价 (tpTriggerPx) 不能相等
51082	200	同一笔订单上附带分批止盈，其中触发止盈的止盈委托价 (tpOrdPx) 只能是市价
51083	200	同一笔订单上附带分批止盈的止盈数量之和需要等于订单的委托数量
51084	200	同一笔订单上附带分批止盈的止损委托单不能超过 {param0} 笔
51085	200	附带止盈止损开启'开仓价止损'时 (amendPxOnTriggerType 设置为 1)，该笔订单上的止盈委托单必须大于等于 2 笔
51086	200	同一笔订单上附带止盈止损委托单不能超过 {param0} 笔
51538	200	若下单时使用了 attachAlgoOrds 参数，也需要使用 attachAlgoOrds 参数改单；若下单时没有使用 attachAlgoOrds 参数，则不支持使用 attachAlgoOrds 参数改单。
51539	200	修改同一笔订单上分批止盈中的止盈止损订单时，attachAlgoId 或者 attachAlgoClOrdId 的值不能重复
51527	200	改单失败，其中至少有一个附带的止盈止损订单不存在
51087	200	该币种取消上线，当前不支持交易
51088	200	对于同一个仓位，仅支持一笔全部平仓的止盈止损挂单
51089	200	在附带分批止盈时，止盈订单的数量不能为空
51090	200	对于绑定了限价止盈的止损订单，不允许修改其委托数量
51091	200	同一笔订单上附带分批止盈的止盈类型必须保持一致
51092	200	同一笔订单上附带分批止盈的止盈委托价不能相等
51093	200	同一笔订单上附带分批止盈，其中限价止盈的止盈委托价 (tpOrdPx) 不能为 –1 (市价)
51094	200	币币、杠杆和期权交易不支持限价止盈
51095	200	该接口下限价止盈订单时，也需要同时下一笔止损订单
51096	200	限价止盈时 cxlOnClosePos 需要为 true
51098	200	对于绑定了限价止盈的止损订单，不能添加新的止盈
51099	200	您当前身份为带单交易员，不支持下单限价止盈
51178	200	使用 attachAlgoClOrdId 时，tpTriggerPx&tpOrdPx 或者 slTriggerPx&slOrdPx 不能为空。
51100	200	下单失败，只减仓订单不能附带止盈止损。
51101	200	操作失败，单笔委托数量不能大于{maxSzPerOrder}(张)。
51102	200	操作失败，当前合约的累计挂单数量不能大于{maxNumberPerInstrument}(单)。
51103	200	操作失败，{businessType}的当前交易品种下，所有合约累计挂单数量不能大于{maxNumberPerInstFamily}(单)。
51104	200	操作失败，{businessType}的当前交易品种下，所有合约累计挂单张数不能大于{maxSzPerInstFamily} (张)。
51105	200	操作失败，当前合约的持仓张数和同方向挂单张数之和不能大于{maxPositionSzPerInstrument}(张)。
51106	200	操作失败，{businessType}的当前交易品种下，所有合约累计持仓张数和同方向挂单张数之和不能大于{maxPostionSzPerInstFamily51106}(张)。
51107	200	操作失败，{businessType}的当前交易品种下，所有合约累计持仓张数和双向挂单张数之和不能大于{maxPostionSzPerInstFamily51107}(张)。
51108	200	持仓量超过市价全平最大限制
51109	200	订单深度中无买一卖一价
51110	200	集合竞价开始后方可下限价单
51111	200	批量下单时，超过最大单数{param0}
51112	200	平仓张数大于该仓位的可平张数
51113	429	市价全平操作过于频繁
51115	429	市价全平前请先撤销所有平仓单
51116	200	委托价格或触发价格超过{param0}
51117	200	平仓单挂单单数超过限制
51120	200	下单数量不足{param0}张
51121	200	下单张数应为一手张数的倍数
51122	200	委托价格小于最小值{param0}
51123	200	最小价格增量为空
51124	200	价格发现期间您只可下限价单
51125	200	当前杠杆存在非只减仓挂单，请撤销所有非只减仓挂单后进行只减仓挂单
51126	200	当前杠杆存在只减仓挂单，请撤销所有只减仓挂单后进行非只减仓挂单
51127	200	仓位可用余额为0
51128	200	跨币种账户无法进行全仓杠杆交易
51129	200	持仓及买入订单价值已达到持仓限额，不允许继续买入
51130	200	逐仓杠杆保证金币种错误
51131	200	仓位可用余额不足
51132	200	仓位正资产小于最小交易单位
51133	200	跨币种全仓币币不支持只减仓功能
51134	200	平仓失败，您当前没有杠杆仓位，请关闭只减仓后继续
51135	200	您的平仓价格已触发限价，最高买入价格为{param0}
51136	200	您的平仓价格已触发限价，最低卖出价格为{param0}
51137	200	买单最高价为 {param0}，请调低价格
51138	200	卖单最低价为 {param0}，请调高价格
51139	200	现货模式下币币不支持只减仓功能
51140	200	由于盘口卖单不足，下单失败，请稍后重试
51142	200	盘口无有效报价，用USDT模式下单无法成交，请尝试切换到币种模式
51143	200	兑换数量不足
51144	200	请使用 {param0} 进行下单
51147	200	交易期权需要在交易账户资产总价值大于1万美元的前提下，开通期权交易服务
51148	200	下单失败，当前订单若下单成功会造成只减仓订单反向开仓，请撤销或修改原有挂单再进行下单
51149	500	下单超时，请稍候重试 (不代表请求成功或失败，请检查请求结果)
51150	200	交易数量或价格的精度超过限制
51152	200	一键借币模式下，不支持自动借币与自动还币和手动类型混合下单。
51153	200	无法在一键借币模式下手动借币，您输入的金额已超过可借上限
51154	200	无法手动归还一键借币模式下的借币，您输入的还币金额已超过该币种可用余额
51155	200	由于您所在国家或地区的合规限制，您无法交易此币对或合约
51158	200	自主划转已不支持，请切换至一键借币模式下单 (isoMode=quick_margin)
51164	200	您当前身份为带单交易员，无法切换至组合保证金账户
51169	200	下单失败，您没有当前合约对应方向的持仓，无法进行平仓或者减仓。
51170	200	下单失败，只减仓下单方向不能与持仓方向相同
51171	200	改单失败，当前订单若改单成功会造成只减仓订单反向开仓，请撤销或修改原有挂单再进行改单
51173	200	无法市价全平，当前仓位暂无负债
51174	200	操作失败，当前 {param0} 的累计挂单数量已达上限 {param1} (单)
51175	200	参数 {param0}、{param1} 和 {param2} 不能同时为空
51176	200	参数 {param0}、{param1} 和 {param2} 只能填写一个
51177	200	当前期权订单的价格类型为{param0}，不支持修改{param1}
51179	200	现货模式下，不支持使用{param0}进行期权下单。
51180	200	{param0}的范围应为({param1}, {param2})
51181	200	使用{param0}下单，ordType 只能为限价单 (limit)
51182	200	当前账户期权价格类型 pxUsd 和 pxVol 的挂单数量之和，不能超过 {param0} 个
51185	200	单笔订单价值不能超过 {maxOrderValue} USD
51186	200	下单失败。在当前保证金模式下，您针对 {param0} 的杠杠倍数设置为 {param1}x，大于平台允许的最大杠杠倍数 {param2}x，请调低杠杆。
51187	200	下单失败，您在 {param0} {param1} 和当前保证金模式下，当前下单张数、持仓及挂单张数之和 {param2}，已超过平台上限 {param3} 张，请修改当前订单数量，或撤单、平仓。
51192	200	输入IV值对应的 {param0} 期权价格超过最低卖价 {param1} {param2}，请重新输入合理的IV值。
51193	200	输入IV值对应的 {param0} 期权价格超过最高买价 {param1} {param2}，请重新输入合理的IV值。
51194	200	输入USD订单价格对应的 {param0} 期权价格超过最低卖价 {param1} {param2}，请重新输入合理的USD订单价格。
51195	200	输入USD订单价格对应的 {param0} 期权价格超过最高买价 {param1} {param2}，请重新输入合理的USD订单价格。
51196	200	在提前挂单期间，您只能下限价单。
51197	200	在提前挂单开始后，您才能下限价单。
51201	200	市价委托单笔价值不能超过 1,000,000 USDT
51202	200	市价单下单数量超出最大值
51203	200	普通委托数量超出最大限制{param0}
51204	200	限价委托单价格不能为空
51205	200	不支持只减仓操作
51206	200	请先撤销当前下单产品{param0}的只减仓挂单，避免反向开仓
51207	200	交易数量超过限制，无法市价全平，请手动下单分批平仓
51209	200	下单失败。当前账户状态下，仅支持下降低 Delta 值的订单。请增加您的账户权益，或下一笔降低 Delta 值的订单，待该订单后成交后再继续操作
51210	200	下单失败。当前账户状态下，基础货币相同的现货、永续和交割合约间仅能下一笔降低 Delta 值的订单，请撤销其他订单后再继续操作
51211	200	下单失败。当前账户状态下，仅支持下降低 Delta 值的订单。请增加您的账户权益，或下一笔降低 Delta 值的订单，待该订单后成交后再继续操作
51212	200	下单失败。当前不支持批量下单，请分开下单
51213	200	下单失败。当前账户状态下，基础货币相同的现货、永续和交割合约间仅能下一笔降低 Delta 值的订单，请撤销其他订单后再继续操作
51214	200	改单失败。当前账户状态下，仅支持下降低 Delta 值的订单。请增加您的账户权益，或下一笔降低 Delta 值的订单，待该订单后成交后再继续操作
51220	200	分润策略仅支持策略停止时卖币或停止时全部平仓
51221	200	请输入 0-30% 范围内的指定分润比例
51222	200	该策略不支持分润
51223	200	当前状态您不可以进行分润带单
51224	200	该币对不支持分润
51225	200	分润跟单策略不支持手动立即触发策略
51226	200	分润跟单策略不支持修改策略参数
51250	200	策略委托价格不在正确范围内
51251	200	创建冰山委托时，策略委托类型错误
51252	200	策略委托数量不在正确范围内
51253	200	冰山委托单笔均值超限
51254	200	冰山委托单笔均值错误
51255	200	冰山委托单笔委托超限
51256	200	冰山委托深度错误
51257	200	跟踪委托回调服务错误，回调幅度限制为{min}<x<={max}%
51258	200	跟踪委托失败，卖单激活价格需大于最新成交价格
51259	200	跟踪委托失败，买单激活价格需小于最新成交价格
51260	200	每个用户最多可同时持有{param0}笔未成交的跟踪委托
51261	200	每个用户最多可同时持有{param0}笔未成交的止盈止损
51262	200	每个用户最多可同时持有{param0}笔未成交的冰山委托
51263	200	每个用户最多可同时持有{param0}笔未成交的时间加权单
51264	200	时间加权单笔均值超限
51265	200	时间加权单笔上限错误
51267	200	时间加权扫单比例出错
51268	200	时间加权扫单范围出错
51269	200	时间加权委托间隔错误，应为{min}<=x<={max}
51270	200	时间加权委托深度限制为 0<x<=1%
51271	200	时间加权委托失败，扫单比例应该为 0<x<=100%
51272	200	时间加权委托失败，扫单范围应该为 0<x<=1%
51273	200	时间加权委托总量应为大于 0
51274	200	时间加权委托总数量需大于单笔上限
51275	200	止盈止损市价单笔委托数量不能超过最大限制
51276	200	止盈止损市价单不能指定价格
