================================================================================
Binance USDT永续合约最小下单数量(minQty)
更新时间: 2026-02-04 11:29:22
数据来源: https://fapi.binance.com/fapi/v1/exchangeInfo
合约数量: 544
================================================================================

Symbol               minQty              
--------------------------------------------------------------------------------
0GUSDT               1                   
1000000BOBUSDT       1                   
1000000MOGUSDT       0.1                 
1000BONKUSDT         1                   
1000CATUSDT          1                   
1000CHEEMSUSDT       1                   
1000FLOKIUSDT        1                   
1000LUNCUSDT         1                   
1000PEPEUSDT         1                   
1000RATSUSDT         1                   
1000SATSUSDT         1                   
1000SHIBUSDT         1                   
1000WHYUSDT          1                   
1000XECUSDT          1                   
1INCHUSDT            1                   
1MBABYDOGEUSDT       1                   
2ZUSDT               1                   
4USDT                1                   
A2ZUSDT              1                   
AAVEUSDT             0.1                 
ACEUSDT              0.01                
ACHUSDT              1                   
ACTUSDT              1                   
ACUUSDT              1                   
ACXUSDT              0.1                 
ADAUSDT              1                   
AERGOUSDT            1                   
AEROUSDT             0.1                 
AEVOUSDT             0.1                 
AGLDUSDT             1                   
AGTUSDT              1                   
AIAUSDT              1                   
AINUSDT              1                   
AIOTUSDT             1                   
AIOUSDT              1                   
AIUSDT               1                   
AIXBTUSDT            1                   
AKEUSDT              1                   
AKTUSDT              0.1                 
ALCHUSDT             1                   
ALGOUSDT             0.1                 
ALICEUSDT            0.1                 
ALLOUSDT             1                   
ALLUSDT              10                  
ALPINEUSDT           0.1                 
ALTUSDT              1                   
ANIMEUSDT            1                   
ANKRUSDT             1                   
APEUSDT              1                   
API3USDT             0.1                 
APRUSDT              1                   
APTUSDT              0.1                 
ARBUSDT              0.1                 
ARCUSDT              1                   
ARIAUSDT             1                   
ARKMUSDT             1                   
ARKUSDT              1                   
ARPAUSDT             1                   
ARUSDT               0.1                 
ASRUSDT              0.1                 
ASTERUSDT            1                   
ASTRUSDT             1                   
ATAUSDT              1                   
ATHUSDT              1                   
ATOMUSDT             0.01                
ATUSDT               1                   
AUCTIONUSDT          0.01                
AUSDT                1                   
AVAAIUSDT            1                   
AVAUSDT              0.1                 
AVAXUSDT             1                   
AVNTUSDT             1                   
AWEUSDT              1                   
AXLUSDT              0.1                 
AXSUSDT              1                   
B2USDT               1                   
B3USDT               1                   
BABYUSDT             1                   
BANANAS31USDT        1                   
BANANAUSDT           0.1                 
BANDUSDT             0.1                 
BANKUSDT             1                   
BANUSDT              1                   
BARDUSDT             1                   
BASUSDT              1                   
BATUSDT              0.1                 
BBUSDT               1                   
BCHUSDT              0.001               
BDXNUSDT             1                   
BEAMXUSDT            1                   
