================================================================================
OKX USDT永续合约最小下单张数(minSz)及每张面值(ctVal)
更新时间: 2026-03-04 09:29:49
数据来源: https://www.okx.com/api/v5/public/instruments?instType=SWAP
合约数量: 272
================================================================================

Symbol                    最小下单张数               每张面值(币)             
--------------------------------------------------------------------------------
0G-USDT-SWAP              1                    1                   
1INCH-USDT-SWAP           1                    1                   
2Z-USDT-SWAP              1                    10                  
A-USDT-SWAP               1                    10                  
AAPL-USDT-SWAP            0.01                 1                   
AAVE-USDT-SWAP            0.1                  0.1                 
ACH-USDT-SWAP             1                    100                 
ACT-USDT-SWAP             1                    1                   
ACU-USDT-SWAP             1                    10                  
ADA-USDT-SWAP             0.1                  100                 
AERO-USDT-SWAP            1                    10                  
AEVO-USDT-SWAP            1                    1                   
AGLD-USDT-SWAP            1                    1                   
AIXBT-USDT-SWAP           1                    10                  
ALGO-USDT-SWAP            1                    10                  
ALLO-USDT-SWAP            1                    10                  
AMZN-USDT-SWAP            0.01                 1                   
ANIME-USDT-SWAP           1                    10                  
APE-USDT-SWAP             1                    0.1                 
API3-USDT-SWAP            1                    1                   
APR-USDT-SWAP             1                    10                  
APT-USDT-SWAP             1                    1                   
AR-USDT-SWAP              1                    0.1                 
ARB-USDT-SWAP             0.1                  10                  
ARKM-USDT-SWAP            1                    1                   
ASTER-USDT-SWAP           1                    1                   
AT-USDT-SWAP              1                    10                  
ATH-USDT-SWAP             1                    100                 
ATOM-USDT-SWAP            1                    1                   
AUCTION-USDT-SWAP         1                    0.1                 
AVAX-USDT-SWAP            0.1                  1                   
AVNT-USDT-SWAP            1                    1                   
AXS-USDT-SWAP             1                    0.1                 
AZTEC-USDT-SWAP           1                    100                 
BABY-USDT-SWAP            1                    10                  
BAND-USDT-SWAP            1                    1                   
BARD-USDT-SWAP            1                    1                   
BAT-USDT-SWAP             1                    10                  
BCH-USDT-SWAP             0.1                  0.1                 
BEAT-USDT-SWAP            1                    10                  
BERA-USDT-SWAP            1                    0.1                 
BICO-USDT-SWAP            1                    1                   
BIGTIME-USDT-SWAP         1                    10                  
BIO-USDT-SWAP             1                    1                   
BLUR-USDT-SWAP            1                    10                  
BNB-USDT-SWAP             1                    0.01                
BOME-USDT-SWAP            1                    1000                
BONK-USDT-SWAP            1                    100000              
BRETT-USDT-SWAP           1                    100                 
BREV-USDT-SWAP            1                    1                   
BTC-USDT-SWAP             0.01                 0.01                
CC-USDT-SWAP              1                    10                  
CELO-USDT-SWAP            1                    1                   
CFX-USDT-SWAP             1                    10                  
CHZ-USDT-SWAP             1                    10                  
COAI-USDT-SWAP            1                    0.1                 
COIN-USDT-SWAP            0.01                 1                   
COMP-USDT-SWAP            1                    0.1                 
CORE-USDT-SWAP            1                    1                   
CRCL-USDT-SWAP            0.1                  1                   
CRO-USDT-SWAP             1                    10                  
CRV-USDT-SWAP             1                    1                   
CVX-USDT-SWAP             1                    1                   
DASH-USDT-SWAP            1                    0.01                
DOGE-USDT-SWAP            0.01                 1000                
DOOD-USDT-SWAP            1                    1000                
DOT-USDT-SWAP             1                    1                   
DYDX-USDT-SWAP            1                    1                   
EDEN-USDT-SWAP            1                    1                   
EGLD-USDT-SWAP            1                    0.1                 
EIGEN-USDT-SWAP           1                    1                   
ENA-USDT-SWAP             1                    10                  
ENJ-USDT-SWAP             1                    10                  
ENS-USDT-SWAP             1                    0.1                 
ENSO-USDT-SWAP            1                    1                   
ESP-USDT-SWAP             1                    100                 
ETC-USDT-SWAP             0.01                 10                  
ETH-USDT-SWAP             0.01                 0.1                 
ETHFI-USDT-SWAP           1                    1                   
ETHW-USDT-SWAP            1                    0.1                 
F-USDT-SWAP               1                    100                 
FARTCOIN-USDT-SWAP        1                    1                   
FIL-USDT-SWAP             1                    0.1                 
FLOKI-USDT-SWAP           1                    100000              
FLOW-USDT-SWAP            1                    10                  
FOGO-USDT-SWAP            1                    10                  
GALA-USDT-SWAP            1                    10                  
GAS-USDT-SWAP             1                    1                   
GIGGLE-USDT-SWAP          1                    0.01                
GLM-USDT-SWAP             1                    10                  
GMT-USDT-SWAP             1                    1                   
GMX-USDT-SWAP             1                    0.1                 
GOOGL-USDT-SWAP           0.01                 1                   
GPS-USDT-SWAP             1                    10                  
GRASS-USDT-SWAP           1                    1                   
GRT-USDT-SWAP             1                    10                  
H-USDT-SWAP               0.1                  100                 
HBAR-USDT-SWAP            0.1                  100                 
HMSTR-USDT-SWAP           1                    100                 
HOME-USDT-SWAP            1                    100                 
HOOD-USDT-SWAP            0.1                  1                   
HUMA-USDT-SWAP            1                    100                 
HYPE-USDT-SWAP            1                    0.1                 
ICP-USDT-SWAP             1                    0.01                
ICX-USDT-SWAP             1                    10                  
IMX-USDT-SWAP             1                    1                   
INIT-USDT-SWAP            1                    10                  
INJ-USDT-SWAP             1                    0.1                 
INTC-USDT-SWAP            0.1                  1                   
IOST-USDT-SWAP            1                    1000                
IOTA-USDT-SWAP            1                    10                  
IP-USDT-SWAP              1                    1                   
JELLYJELLY-USDT-SWAP      1                    100                 
JTO-USDT-SWAP             1                    1                   
JUP-USDT-SWAP             1                    10                  
KAITO-USDT-SWAP           1                    1                   
KAT-USDT-SWAP             1                    100                 
KGEN-USDT-SWAP            1                    10                  
KMNO-USDT-SWAP            1                    100                 
KSM-USDT-SWAP             1                    0.1                 
LA-USDT-SWAP              1                    10                  
LAB-USDT-SWAP             1                    10                  
LAYER-USDT-SWAP           1                    1                   
LDO-USDT-SWAP             1                    1                   
LIGHT-USDT-SWAP           1                    1                   
LINEA-USDT-SWAP           1                    100                 
LINK-USDT-SWAP            0.1                  1                   
LIT-USDT-SWAP             1                    1                   
LPT-USDT-SWAP             1                    0.1                 
LQTY-USDT-SWAP            1                    1                   
LRC-USDT-SWAP             1                    10                  
LTC-USDT-SWAP             0.1                  1                   
LUNA-USDT-SWAP            1                    1                   
MAGIC-USDT-SWAP           1                    1                   
MANA-USDT-SWAP            1                    10                  
MASK-USDT-SWAP            1                    1                   
ME-USDT-SWAP              1                    1                   
MEME-USDT-SWAP            1                    100                 
MERL-USDT-SWAP            1                    1                   
MET-USDT-SWAP             1                    1                   
META-USDT-SWAP            0.01                 1                   
METIS-USDT-SWAP           1                    0.1                 
MEW-USDT-SWAP             1                    1000                
MINA-USDT-SWAP            1                    1                   
MMT-USDT-SWAP             1                    10                  
MON-USDT-SWAP             1                    10                  
MOODENG-USDT-SWAP         1                    10                  
MORPHO-USDT-SWAP          1                    1                   
MOVE-USDT-SWAP            1                    10                  
MSFT-USDT-SWAP            0.01                 1                   
MSTR-USDT-SWAP            0.01                 1                   
MU-USDT-SWAP              0.01                 1                   
MUBARAK-USDT-SWAP         1                    100                 
NEAR-USDT-SWAP            0.1                  10                  
NEIRO-USDT-SWAP           1                    1000                
NEO-USDT-SWAP             1                    1                   
NIGHT-USDT-SWAP           1                    100                 
NMR-USDT-SWAP             1                    0.1                 
NOT-USDT-SWAP             1                    100                 
NVDA-USDT-SWAP            0.01                 1                   
OKB-USDT-SWAP             1                    0.01                
OL-USDT-SWAP              1                    100                 
ONDO-USDT-SWAP            1                    10                  
ONE-USDT-SWAP             1                    100                 
